"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.786617710E-1,2.344966233E-1,9.676574707E0,-1.363908887E0,9.775036275E0
1.811942190E-1,2.344966233E-1,9.650253296E0,-1.342373490E0,9.745991172E0
1.837275520E-1,2.344966233E-1,9.643074989E0,-1.323230863E0,9.736263340E0
1.862608340E-1,2.297109663E-1,9.633503914E0,-1.299302697E0,9.723443438E0
1.887933340E-1,2.105683982E-1,9.619147301E0,-1.270588875E0,9.704984798E0
1.913257820E-1,1.842473447E-1,9.609575272E0,-1.256231904E0,9.693090456E0
1.938591150E-1,1.603191197E-1,9.611968994E0,-1.251446247E0,9.694419419E0
1.963923960E-1,1.292124242E-1,9.616754532E0,-1.251446247E0,9.698699979E0
1.989248440E-1,9.332008660E-2,9.616754532E0,-1.265803218E0,9.700151244E0
2.014573440E-1,6.699903309E-2,9.633503914E0,-1.280160069E0,9.718420465E0
2.039906770E-1,3.349951655E-2,9.647860527E0,-1.280160069E0,9.732478861E0
2.065239590E-1,1.435693540E-2,9.662218094E0,-1.287338614E0,9.747610237E0
2.090564070E-1,1.674975827E-2,9.683753014E0,-1.308874011E0,9.771821947E0
2.115888550E-1,3.110669367E-2,9.688538551E0,-1.323230863E0,9.778531935E0
2.141221880E-1,6.699903309E-2,9.683753014E0,-1.337587833E0,9.775924637E0
2.166555210E-1,1.028913707E-1,9.700503349E0,-1.330409408E0,9.791850747E0
2.191879690E-1,1.220339537E-1,9.707681656E0,-1.304088354E0,9.795643004E0
2.217204170E-1,1.363908947E-1,9.712467194E0,-1.280160069E0,9.797419623E0
2.242537500E-1,1.603191197E-1,9.717252731E0,-1.272981644E0,9.801590949E0
2.267870840E-1,1.818545163E-1,9.734002113E0,-1.301695466E0,9.822335735E0
2.293195320E-1,2.009970993E-1,9.741181374E0,-1.339980721E0,9.834966330E0
2.318519800E-1,2.153540403E-1,9.753145218E0,-1.356730461E0,9.849413005E0
2.343853130E-1,2.273181528E-1,9.774680138E0,-1.359123230E0,9.871335335E0
2.369185940E-1,2.368894368E-1,9.777072906E0,-1.359123230E0,9.873929673E0
2.394510420E-1,2.368894368E-1,9.769894600E0,-1.361516118E0,9.867151729E0
2.419835420E-1,2.464607358E-1,9.765109062E0,-1.368694544E0,9.863641450E0
2.445168750E-1,2.392822653E-1,9.741181374E0,-1.378265858E0,9.841112098E0
2.470501570E-1,2.297109663E-1,9.714859962E0,-1.397408366E0,9.817536420E0
2.495826050E-1,2.368894368E-1,9.712467194E0,-1.404586911E0,9.816363888E0
2.521151050E-1,2.344966233E-1,9.700503349E0,-1.402194023E0,9.804126783E0
2.546484380E-1,2.416750938E-1,9.671789169E0,-1.402194023E0,9.775891809E0
2.571817190E-1,2.512463629E-1,9.650253296E0,-1.402194023E0,9.754827599E0
2.597141670E-1,2.368894368E-1,9.647860527E0,-1.428515077E0,9.755920494E0
2.622466150E-1,2.392822653E-1,9.657432556E0,-1.445264935E0,9.767909209E0
2.647799480E-1,2.392822653E-1,9.652647018E0,-1.469193101E0,9.766748632E0
2.673132820E-1,2.297109663E-1,9.643074989E0,-1.495514154E0,9.761056550E0
2.698457300E-1,2.392822653E-1,9.633503914E0,-1.488335729E0,9.750733147E0
2.723781770E-1,2.560320199E-1,9.623932838E0,-1.464407444E0,9.738076034E0
2.749115110E-1,2.799602449E-1,9.626325607E0,-1.438086390E0,9.737176947E0
2.774447920E-1,3.062812984E-1,9.614361763E0,-1.399801254E0,9.720555740E0
2.799772400E-1,3.517449200E-1,9.611968994E0,-1.351944804E0,9.712951518E0
2.825097400E-1,3.804588020E-1,9.600004196E0,-1.316052437E0,9.697258555E0
2.850430730E-1,4.163511395E-1,9.573683739E0,-1.289731383E0,9.669135206E0
2.875763550E-1,4.546363056E-1,9.578469276E0,-1.282552958E0,9.674642626E0
2.901088020E-1,4.618147612E-1,9.583254814E0,-1.304088354E0,9.682597386E0
2.926413020E-1,4.737788737E-1,9.576076508E0,-1.311266780E0,9.677041297E0
2.951746360E-1,4.737788737E-1,9.580862045E0,-1.323230863E0,9.683404560E0
2.977079170E-1,4.546363056E-1,9.597611427E0,-1.373480201E0,9.706043846E0
3.002403650E-1,4.354937077E-1,9.621540070E0,-1.409372568E0,9.733962149E0
3.027728130E-1,4.139583111E-1,9.647860527E0,-1.435693622E0,9.762878183E0
3.053061460E-1,3.948157430E-1,9.662218094E0,-1.469193101E0,9.781250755E0
3.078394800E-1,3.637090325E-1,9.683753014E0,-1.483550072E0,9.803482927E0
3.103719270E-1,3.206382394E-1,9.693324089E0,-1.481157184E0,9.811073712E0
3.129043750E-1,2.799602449E-1,9.695717812E0,-1.462014675E0,9.809322532E0
3.154377090E-1,2.464607358E-1,9.710074425E0,-1.435693622E0,9.818732322E0
3.179709900E-1,2.153540403E-1,9.705288887E0,-1.428515077E0,9.812220191E0
3.205034900E-1,1.962114573E-1,9.700503349E0,-1.445264935E0,9.809538975E0
3.230359380E-1,1.890329868E-1,9.693324089E0,-1.459621787E0,9.804425589E0
3.255692710E-1,1.962114573E-1,9.678967476E0,-1.466800332E0,9.791445938E0
3.281025520E-1,2.033899277E-1,9.659825325E0,-1.485942841E0,9.775562332E0
